track_name,release_year,popularity,energy,danceability,valence,tempo,artist_name
Het Is Koud Zonder Jou,2012,44,0.659,0.478,0.551,98.442,Andre Hazes
Başkaldırıyorum,1990,25,0.586,0.394,0.613,129.378,Ahmet Kaya
Niña Y Mujer,2001,43,0.631,0.654,0.522,136.973,Liberación
Out Of Time - Edit Version,1972,18,0.709,0.658,0.654,125.67,The Rolling Stones
Otello / Act 2: D'un uom che geme sotto il tuo disdegno,1955,0,0.155,0.215,0.128,66.168,Giuseppe Verdi
O Shivji Bihane Chale Palki Part - 1,1955,9,0.63,0.492,0.657,127.095,Hemant Kumar
Rock 'n' Roll Children,1985,18,0.949,0.472,0.273,118.445,Dio
Maldito Romántico,2020,63,0.589,0.725,0.55,79.059,Gera MX
Nova Sorte,2012,48,0.513,0.616,0.385,93.053,Filipe Ret
"Love Me Like You Do - From ""Fifty Shades Of Grey""",2015,63,0.606,0.262,0.275,189.857,Ellie Goulding
I Go Blind,1995,45,0.793,0.611,0.86,121.987,Hootie & The Blowfish
Bektoub Ismak Ya Habibi,1964,39,0.174,0.617,0.566,85.322,Fairuz
"Beethoven: String Quartet No. 2 in G Major, Op. 18 No. 2: II. Adagio cantabile - Allegro",1955,0,0.108,0.229,0.0605,88.521,Ludwig van Beethoven
Krzyki na blokach,2020,49,0.715,0.774,0.533,137.168,White 2115
Jerk,2020,70,0.707,0.521,0.298,159.824,Oliver Tree
Dance Away,1988,36,0.873,0.649,0.875,117.166,Roxette
Sei un mito,1998,29,0.856,0.606,0.527,121.192,883
Empire - Remastered 2003,1990,49,0.895,0.315,0.432,79.628,Queensrÿche
It's a Mistake,1981,30,0.614,0.7,0.924,105.953,Men At Work
Yetmez Mi?,2001,34,0.453,0.588,0.664,147.875,İbrahim Tatlıses
El Amor Que Perdimos,2010,62,0.82,0.796,0.885,126.028,Prince Royce
Kali Ke Roop Men,1957,3,0.472,0.553,0.897,126.939,Asha Bhosle
Ziggy Stardust - Live,1983,33,0.915,0.354,0.479,85.643,David Bowie
Saturday Night [ASOT 281] - Original Mix,2006,7,0.992,0.581,0.78,129.988,Armin van Buuren
"Die Zauberflöte, K.620 / Act 1: Dialog ""Rüste dich mit Mut und Standhaftigkeit"" (Die drei Damen, Tamino)",1955,0,0.0712,0.605,0.755,103.809,Wolfgang Amadeus Mozart
Hominy Grits,1952,8,0.24,0.663,0.598,102.878,Dean Martin
"Violin Concerto in D Major, Op. 77: II. Adagio",1947,0,0.147,0.172,0.0372,105.435,Johannes Brahms
East Of The Sun (And West Of The Moon),1949,12,0.132,0.397,0.11,122.08,Sarah Vaughan
"Symphony No. 2 in D Major, Op. 36: IV. Allegro molto",1955,0,0.203,0.291,0.218,136.454,Ludwig van Beethoven
0026 - und die Silbermine - Teil 31,1981,36,0.564,0.709,0.531,96.344,Die drei ???
Povei Vetre,1970,9,0.411,0.24,0.172,112.201,Pasha Hristova
Mood Indigo,1951,22,0.154,0.294,0.13,74.422,Duke Ellington
Niebo,2012,38,0.685,0.569,0.639,149.075,Paluch
Una chica está llorando,2008,48,0.753,0.626,0.769,101.508,Los Acosta
Así Es el Amor,1978,4,0.55,0.636,0.29,124.074,Los Embajadores del Guadalquivir
"Verdi: Aida, Act 1: ""Vieni, o diletta appressati"" (Amneris, Aida, Radamès)",1956,2,0.268,0.241,0.199,61.765,Giuseppe Verdi
Coração Pirata,2019,62,0.685,0.667,0.652,97.03,Eduardo Costa
"Pekeño 77: Bzrp Music Sessions, Vol. 5",2019,54,0.817,0.796,0.68,129.987,Bizarrap
Elle te balade,2016,47,0.637,0.84,0.514,126.987,Jul
"Piano Trio No.1 in B Major, Op.8: II. Scherzo",1933,0,0.112,0.42,0.356,76.828,Johannes Brahms
מכל הכוכבים בלילה,2021,43,0.272,0.563,0.406,130.633,Eyal Golan
Fire,1974,51,0.75,0.639,0.851,107.174,Ohio Players
Mou Bone Aaj Mou Jomechhe,1958,8,0.172,0.364,0.316,136.746,Hemant Kumar
Would I Lie to You - 2011 Remaster,1981,23,0.866,0.628,0.748,123.497,Whitesnake
Mientes Tan Bien,2003,69,0.188,0.607,0.486,135.896,Sin Bandera
Sweet Lover,1961,21,0.385,0.697,0.653,93.33,Aretha Franklin
Rocket,2014,61,0.403,0.495,0.555,140.415,Beyoncé
"Cantata, BWV 21 ""Ich hatte viel Bekümmernis"" / Erster Teil - Part 1: 6. Chor: Was betrübst du dich, meine Seele",1951,0,0.183,0.187,0.0469,81.459,Johann Sebastian Bach
Adesso tu,1984,39,0.377,0.464,0.326,136.47,Eros Ramazzotti
Saudade Pulou do Peito,1998,42,0.561,0.732,0.964,129.075,Rionegro & Solimões
Aaye Jawani Aaye,1949,0,0.473,0.6,0.919,105.85,Lata Mangeshkar
Excitable,1987,46,0.975,0.641,0.585,134.034,Def Leppard
Shout,1985,39,0.931,0.51,0.494,97.917,Tears For Fears
Immature - Mark Bell's Version,1997,37,0.768,0.413,0.105,187.965,Björk
Back Home,2014,64,0.827,0.621,0.65,99.979,Andy Grammer
Cada Vez,1996,29,0.779,0.495,0.963,175.955,Eddie Santiago
C'était le rap,2020,55,0.625,0.781,0.61,140.965,Ninho
Just One Of Those Things,1957,26,0.669,0.472,0.784,121.505,Nat King Cole
Circle Of Love,1981,23,0.296,0.631,0.266,119.405,Steve Miller Band
I Against I,2003,49,0.524,0.677,0.265,100.007,Massive Attack
Толкова хубава,2008,14,0.844,0.713,0.705,119.993,Slavi Trifonov
All The Man That I Need,1990,55,0.571,0.496,0.25,150.944,Whitney Houston
Como Panas,2020,62,0.61,0.638,0.379,157.956,Bryant Myers
For All We Know,1958,27,0.191,0.269,0.188,107.218,Billie Holiday
012 - und der seltsame Wecker - Teil 28,1980,36,0.344,0.789,0.58,49.694,Die drei ???
Wasted Sunsets,1984,46,0.67,0.374,0.362,136.548,Deep Purple
Gunday Returns ( Thode Pind Mundeya Da Kaal Pe Jau ),2015,39,0.903,0.713,0.821,167.874,Dilpreet Dhillon
Down in the Sewer (Medley) - 1996 Remaster,1977,31,0.795,0.433,0.753,132.097,The Stranglers
Pet Sematary,1989,60,0.953,0.437,0.667,148.147,Ramones
Bitiw,2013,43,0.94,0.462,0.498,150.2,Sponge Cola
Sube Al Desván,1998,47,0.707,0.385,0.518,73.968,Chayanne
Quebrantado,2011,45,0.39,0.557,0.255,92.957,Ministério Vineyard
Solitaria,2015,57,0.651,0.814,0.592,97.978,Alkilados
Mera Mann - Remix,1999,29,0.785,0.725,0.752,130.022,Udit Narayan
"Soy un Truhán, Soy un Señor",1998,55,0.607,0.551,0.684,99.041,Julio Iglesias
I Was Made For Lovin' You,1979,80,0.852,0.768,0.867,128.373,KISS
Everlong,2009,58,0.867,0.415,0.36,157.902,Foo Fighters
Fun House,1970,34,0.745,0.521,0.914,131.694,The Stooges
Ilusão perdida,1975,25,0.548,0.578,0.96,153.119,Milionário & José Rico
Não Sai Da Minha Vida - Ao Vivo,2009,41,0.903,0.509,0.707,159.962,Jorge & Mateus
輪舞曲 (ロンド),1995,17,0.683,0.698,0.881,101.171,Yumi Matsutoya
I've Lost You,1970,28,0.385,0.246,0.458,155.949,Elvis Presley
ベストピクチャー,2000,24,0.907,0.462,0.618,131.162,BUMP OF CHICKEN
Dekho Zara Kaise Balkhake Chali,1999,34,0.981,0.628,0.375,171.051,Gurdas Maan
Ye Samaa Samaa Hai Pyar Ka,1965,39,0.449,0.425,0.395,126.553,Lata Mangeshkar
Over Funk - 2006 Remaster,1999,47,0.918,0.628,0.735,99.057,Red Hot Chili Peppers
Malandragem da um Tempo,1996,37,0.453,0.776,0.881,78.557,Thaíde & DJ Hum
Il Re Del Mondo - Remastered 2019,1979,16,0.476,0.688,0.319,90.152,Franco Battiato
"Mazurka in A Minor, Op. 59 No. 1",1946,0,0.123,0.328,0.122,75.282,Frédéric Chopin
Big As I Can Dream - Remastered 2015,2015,7,0.34,0.474,0.431,90.073,Roy Orbison
Bazen,1988,13,0.527,0.611,0.655,78.718,MFÖ
I Got A Guy,1950,1,0.083,0.8,0.391,119.152,Ella Fitzgerald
Oh Darling - 2010 Remastered,1979,47,0.834,0.597,0.612,126.988,Supertramp
S&M,2010,58,0.682,0.766,0.833,127.966,Rihanna
"The Seasons, Op. 37 bis: January. By the Fireside",1957,1,0.0262,0.419,0.0402,74.459,Pyotr Ilyich Tchaikovsky
Skinny,2021,67,0.741,0.484,0.137,85.076,KALEO
Lovin' You,1979,23,0.336,0.54,0.674,62.433,Commodores
Dünya Dönüyor,1973,10,0.72,0.585,0.824,95.68,Nilüfer
Eres Tú,1994,57,0.428,0.415,0.652,81.352,Mocedades
All Day All Night,1988,27,0.533,0.734,0.812,165.475,Bobby Brown
